"Svc","Vsl","Voy","Dir","Facility","Berth.LTA","LTD","Berth.ETA.ATA","ETD.ATD","Arr..Diff.","Dep..Diff","X","portTime","LportTime","arrDiff","depDiff","SeaT","PSeaT"
"SSX","OEU",17,"E","SKZ",2009-03-14 07:00:00,2009-03-14 15:00:00,2009-03-13 20:20:00,2009-03-14 05:40:00,"-11","-9",NA,9.33333333333333,8,-10.6666666666667,-9.33333333333333,11.25,6
"SSX","OEU",17,"E","YAT",2009-03-14 21:00:00,2009-03-15 14:00:00,2009-03-14 16:55:00,2009-03-15 12:25:00,"-4","-2",NA,19.5,17,-4.08333333333333,-1.58333333333333,5.68333333333333,5
"SSX","OEU",17,"E","HKG",2009-03-15 19:00:00,2009-03-16 10:00:00,2009-03-15 18:06:00,2009-03-16 07:59:00,"-1","-2",NA,13.8833333333333,15,-0.9,-2.01666666666667,286.266666666667,287
"SSX","OEU",17,"E","LGB",2009-03-28 09:00:00,2009-04-01 18:00:00,2009-03-28 06:15:00,2009-04-01 18:30:00,"-3","0",NA,108.25,105,-2.75,0.5,307.666666666667,299
"SSX","OEU",17,"W","KHH",2009-04-14 05:00:00,2009-04-15 09:00:00,2009-04-14 14:10:00,2009-04-15 04:40:00,"9","-4",NA,14.5,28,9.16666666666667,-4.33333333333333,10.2833333333333,11
"SSX","OEU",17,"W","ZIA",2009-04-15 20:00:00,2009-04-16 14:00:00,2009-04-15 14:57:00,2009-04-16 05:22:00,"-5","-9",NA,14.4166666666667,18,-5.05,-8.63333333333333,25.4833333333333,16
"SSX","OEU",17,"W","HKG",2009-04-17 06:00:00,2009-04-17 17:00:00,2009-04-17 06:51:00,2009-04-17 17:24:00,"1","0",NA,10.55,11,0.85,0.4,2.18333333333333,10
"SSX","OEU",17,"W","SKZ",2009-04-18 03:00:00,2009-04-18 10:00:00,2009-04-17 19:35:00,2009-04-18 07:15:00,"-7","-3",NA,11.6666666666667,7,-7.41666666666667,-2.75,NA,NA
"SSX","OHB",50,"E","SKZ",2009-03-21 03:00:00,2009-03-21 10:00:00,2009-03-20 17:30:00,2009-03-21 07:45:00,"-10","-2",NA,14.25,7,-9.5,-2.25,13.1666666666667,6
"SSX","OHB",50,"E","YAT",2009-03-21 16:00:00,2009-03-22 14:00:00,2009-03-21 20:55:00,2009-03-22 11:20:00,"5","-3",NA,14.4166666666667,22,4.91666666666667,-2.66666666666667,6.85,5
"SSX","OHB",50,"E","HKG",2009-03-22 19:00:00,2009-03-23 10:00:00,2009-03-22 18:11:00,2009-03-23 10:31:00,"-1","1",NA,16.3333333333333,15,-0.816666666666667,0.516666666666667,284.066666666667,287
"SSX","OHB",50,"E","LGB",2009-04-04 09:00:00,2009-04-08 18:00:00,2009-04-04 06:35:00,2009-04-08 18:50:00,"-2","1",NA,108.25,105,-2.41666666666667,0.833333333333333,308.433333333333,299
"SSX","OHB",50,"W","KHH",2009-04-21 05:00:00,2009-04-22 09:00:00,2009-04-21 15:16:00,2009-04-22 04:58:00,"10","-4",NA,13.7,28,10.2666666666667,-4.03333333333333,13.8,11
"SSX","OHB",50,"W","ZIA",2009-04-22 20:00:00,2009-04-23 14:00:00,2009-04-22 18:46:00,2009-04-23 09:16:00,"-1","-5",NA,14.5,18,-1.23333333333333,-4.73333333333333,20.8666666666667,16
